,voting,test,metric,value
276,democratic,23,err,0.03671071953010279
277,democratic,23,fnr,0.0
278,democratic,23,fpr,0.16556291390728478
279,veto,23,err,0.0381791483113069
280,veto,23,fnr,0.0
281,veto,23,fpr,0.17218543046357615
282,stacked_svc,23,err,0.03671071953010279
283,stacked_svc,23,fnr,0.0
284,stacked_svc,23,fpr,0.16556291390728478
285,stacked_dtc,23,err,0.03671071953010279
286,stacked_dtc,23,fnr,0.0
287,stacked_dtc,23,fpr,0.16556291390728478
288,democratic,24,err,0.01908957415565345
289,democratic,24,fnr,0.0
290,democratic,24,fpr,0.08609271523178808
291,veto,24,err,0.022026431718061675
292,veto,24,fnr,0.0
293,veto,24,fpr,0.09933774834437085
294,stacked_svc,24,err,0.01908957415565345
295,stacked_svc,24,fnr,0.0
296,stacked_svc,24,fpr,0.08609271523178808
297,stacked_dtc,24,err,0.01908957415565345
298,stacked_dtc,24,fnr,0.0
299,stacked_dtc,24,fpr,0.08609271523178808
300,democratic,25,err,0.023494860499265784
301,democratic,25,fnr,0.0
302,democratic,25,fpr,0.10596026490066225
303,veto,25,err,0.024963289280469897
304,veto,25,fnr,0.0
305,veto,25,fpr,0.11258278145695365
306,stacked_svc,25,err,0.023494860499265784
307,stacked_svc,25,fnr,0.0
308,stacked_svc,25,fpr,0.10596026490066225
309,stacked_dtc,25,err,0.023494860499265784
310,stacked_dtc,25,fnr,0.0
311,stacked_dtc,25,fpr,0.10596026490066225
312,democratic,26,err,0.020558002936857563
313,democratic,26,fnr,0.0037735849056603774
314,democratic,26,fpr,0.07947019867549669
315,veto,26,err,0.01762114537444934
316,veto,26,fnr,0.0
317,veto,26,fpr,0.07947019867549669
318,stacked_svc,26,err,0.020558002936857563
319,stacked_svc,26,fnr,0.0037735849056603774
320,stacked_svc,26,fpr,0.07947019867549669
321,stacked_dtc,26,err,0.01908957415565345
322,stacked_dtc,26,fnr,0.0018867924528301887
323,stacked_dtc,26,fpr,0.07947019867549669
324,democratic,27,err,0.039647577092511016
325,democratic,27,fnr,0.0
